word,category
दौसेरस,neither
झटके,neither
ब्लोग-जगत,neither
शायरों,neither
लच्छी,neither
आईफोन,neither
ईश्वरत्व,neither
आशीर्वाद,nepali-only
धीरू,neither
कर्फ्यू,neither
नाईट,neither
रैंक,neither
बोमन,neither
तकियों,neither
राजनेता,nepali-only
समस्याएं,neither
ग्रंथि,neither
ड्रग्स,neither
छुटने,neither
अपलोड,neither
दिलाइये,neither
टाईम,neither
चुंबन,neither
सर्वोदयी,neither
टेन,neither
बेचैन,nepali-only
ग्रहों,neither
मुजगहन,neither
शिष्य,nepali-only
प्रवक्ता,nepali-only
बेचारे,neither
रुकी।,neither
फिजूलखर्ची,neither
चीख,neither
मिथक,neither
सट्टा,nepali-only
बस,nepali-only
बधाई,nepali-only
दिलाता,neither
पोंगी,neither
लगने,neither
लेखकों,neither
भेजी,neither
दीबो,neither
मेज,neither
प्रभावपूण्र,neither
थोडे,neither
समाजवाद,nepali-only
पूजन,neither
अवतीर्ण,nepali-only
चढ़ाई,neither
पहनने,neither
सुनी,neither
सुना,neither
टटोलने,neither
बटोरना,neither
फीसद,neither
गेस्ट,neither
उल्लिखित,nepali-only
क्रोध,nepali-only
ऑनलाइन,neither
दुहराया,neither
मारों,neither
पसीना,neither
आंकड़े,neither
बार्इक,neither
माँ,neither
दक्षिण-पूर्वी,neither
जमे,neither
सन्दर्भो,neither
गलतिया,neither
पेटी,nepali-only
रामानुज,neither
लैटर्स,neither
अध्यापकों,neither
कण,nepali-only
ला,nepali-only
व्यक्तियों,neither
जा।,nepali-only
गोहपारू,neither
क्षमा-पात्र,neither
कोलकाता,nepali-only
चलेंगी।,neither
चौहटन,neither
हिन्दुस्तान,nepali-only
श्रृंगार,neither
बिगड़,neither
कॉन्क्लेव,neither
मेल,nepali-only
कैदी,nepali-only
तनाव,nepali-only
खिलाड़ीयों,neither
शिशु,nepali-only
अण्णा,neither
परहेज़,neither
कवच,nepali-only
सबजोनल,neither
शब्बीर,neither
दंश,nepali-only
पकिस्तान,neither
पड़ाव,neither
दिखायें,neither
जयकिशन,neither
बूते,neither
एकजुट,nepali-only
वेबमास्टर,neither
मोज-मस्ती,neither
फ़िर,neither
अरबाज,neither
सफ़ल,neither
सुहाती,neither
प्रसाद,neither
पढाना,neither
दबदबा,nepali-only
अधिकारिक,neither
नवोदय,neither
दुष्कर,nepali-only
लायी,neither
दाखिले,neither
स्वदेश,nepali-only
मेम,neither
नजरें,neither
थोड़ी-थोड़ी,neither
साख,nepali-only
नेलकटर,neither
संवारा,neither
मिडकैप,neither
ब्राह्मण,nepali-only
चश्मा,neither
भाजपाईयों,neither
१९४६,numeral/punctuation
ह्रदय,neither
रिभु,neither
वाग्बाण,neither
मल्टीप्लेक्स,neither
वास्तविकता,neither
जाओगे,neither
होऊँ,nepali-only
एनजीटी,neither
फांसते,neither
निष्कासन,nepali-only
अमर,nepali-only
रुपया,neither
ठंडे,neither
पाँच,nepali-only
शक्तिपीठ,neither
डाउनलोड,neither
मासी।,nepali-only
पकड़-पकड़,neither
दोस्ती,nepali-only
घास,neither
नव-आगंतुक,neither
गिरोगे,neither
द्वन्द्वात्मक,neither
मछलियों,neither
फिसल,neither
छलांग।,neither
बि्रटिश,neither
समृद्धि,neither
जताया,neither
अनिवासी,neither
उलटे,neither
कॉलोनियों,neither
चचेरे,neither
मानदंड,neither
साहब।,nepali-only
भावार्थ,nepali-only
डॉक्टर,neither
विम्बों,neither
बलवान,nepali-only
दौड़े,neither
बेकार,nepali-only
खो,neither
मजबूरी,neither
रुँध,neither
भला,nepali-only
फालतू,neither
क्रिटिकल,neither
परिमार्जित,nepali-only
पहुँचती।,neither
संजीत,neither
थमने,neither
कुंडली,neither
सौंपी,neither
सरल,nepali-only
पदाधिकारियों,neither
गुरूद्वारे,neither
बलदेव,nepali-only
भेद,nepali-only
सद्व्यवहार,neither
वासुदेव,nepali-only
काश,neither
हारुन,neither
गाली,nepali-only
असंभव,neither
जुड़ा,neither
बिल्व,neither
प्रायोजित,neither
पुरूष,neither
पुरातत्व,nepali-only
इज्ज्त,neither
मर्म,nepali-only
दीवारों,neither
भूमिकाओं,neither
सांखला,neither
देश-प्रदेश,neither
गिरफ्तारी,nepali-only
एमफिल,neither
रोको,neither
एक्विलिनम,neither
मुंच,neither
डीके,neither
एंकर,neither
डांस,neither
हाल,nepali-only
सदृश,nepali-only
हैफा,neither
कार्ड़,neither
डॉक्टरनी,neither
बेकाबू,neither
प्रश्रय,nepali-only
आदिवासी,nepali-only
विज,neither
अग्रसर,nepali-only
खिलंदड़ेपन,neither
डॉ,neither
सोचने-समझने,neither
पुलिया,neither
बलदेवनगर,neither
जैनेटीकली,neither
घड़ी,neither
बदलिए।,neither
यथार्थ,nepali-only
मुख्यमंत्री,neither
आध्यात्म,neither
शिक्षा,nepali-only
सत्कर्म,nepali-only
रामजीलाल,neither
पग,neither
बेध्यानी,neither
संतोखसिंह-हां,neither
सिद्ध,nepali-only
ऊपरी,neither
अहं,neither
आन्दोलित,nepali-only
बीमारियाँ,neither
दरकार,nepali-only
सेलफोन,nepali-only
सेटलवाड,neither
स्मृतियों,neither
नयी,neither
गमन,nepali-only
सरिता,nepali-only
बंतानी,neither
फलस्वरूप,neither
जिज्ञासाओं,neither
असुविधा,nepali-only
रखें,neither
मुमबई,neither
तथापि,nepali-only
पड़नी,neither
चिढ़ाते,neither
अन्यथा,nepali-only
स्याही,neither
पपरी,neither
गज़ल,neither
हज़ारों,neither
जोडी,nepali-only
किषोर,neither
अभिलेख,nepali-only
घन्टे,neither
सुसाइड,neither
अंडलूसियन,neither
मीन,nepali-only
गलते,neither
पेट्रोलियम,nepali-only
प्रतिभाओं,neither
बिकवाली,neither
भ्रम,nepali-only
थके-थकेलगते,neither
नोटिस,neither
अरसे,neither
एक्ठो,neither
जीव,nepali-only
तातारपुर,neither
गहने,neither
वाशरूम,neither
चिट्ठे,neither
यूपीए-एक,neither
दाढ़ी,neither
चुन्नीलाल,neither
माँगता,neither
मुद्राओं,neither
जरवरी,neither
झपकाए,neither
नीरव,nepali-only
तारणहार-खेवनहार-पैरोकार,neither
कौवे,neither
कराए,neither
उम्मीदें,neither
श्रीचंद्र,neither
कर्मियों,neither
गोल्डेन,neither
आवासीय,neither
उम्मीद,neither
मोल-भाव,neither
आल्हा,neither
बसनेवाली,neither
प्रदेशों,neither
मनाना,neither
माँड़,neither
भीग,neither
निभाई।,neither
ठहर,nepali-only
लक्ष्मीदत्त,neither
डिप्लोमा,neither
तामीली,neither
ऊँचाई,neither
मालकिन,neither
समान,nepali-only
प्रत्याशी,neither
हवाओं,neither
वादा,neither
उधर,neither
प्रफुल्ल,nepali-only
तिलक,nepali-only
सिमटते,neither
बुंदेलखंड,neither
साले,nepali-only
पडता,neither
घरवालों,neither
माल,nepali-only
लेखा,nepali-only
दसरी,neither
पड़ेगी।,neither
राना,nepali-only
पहने,neither
सहिष्णु,nepali-only
स्वयंपूर्णता,neither
फ्रेंच,neither
शोभना,neither
थामस,neither
पृथु,nepali-only
पुत्री,neither
क्राउन,neither
शहीद,nepali-only
एक,nepali-only
उतुंग,neither
मुसहर।,nepali-only
वी,neither
पंचायत,neither
नागरिको,neither
अमृतस्य,neither
देशमुख,neither
घूमने,neither
टेलिग्राम,nepali-only
लोटपोट,neither
पल्लवी,neither
इमेज,neither
नज़ारा,neither
रहना,neither
बाईडर,neither
लहसुनियां,neither
तिजारत,neither
च्वांत्सु,neither
स्वाभिमान,nepali-only
भेजा,nepali-only
कुप्रभाव,neither
परिवारों,neither
अगले,neither
दंड,neither
नंदा,neither
प्रचुरता,neither
बहलावे,neither
ऐप्स,neither
योग्यताओं,neither
नकलची,neither
जाओ-पश्चिम,neither
किरदार,neither
चिपके,neither
कनिष्क,neither
चोट्टे,neither
आंदोलनों,neither
दिखावा,neither
कुमाऊं,neither
उपकरण,nepali-only
परोक्ष,nepali-only
अश्वघोष,neither
प्रवंचना,neither
प्रोत्साहन,nepali-only
भुखमरी,neither
श्राफ,neither
यूनिट,neither
आह्लादकारी,neither
कंटेनर,neither
शीतकालीन,neither
इस-इस,neither
साइज़,neither
पफंक्शन,neither
भाषेनाना,neither
इज़,neither
परवाना,neither
सोंचा,neither
कोरी,neither
जेसन,neither
नॉल्स,neither
कढ़ी,neither
तेलिया,nepali-only
देता।,neither
रिकमेंडेसन,neither
मार्च,nepali-only
कॉर्पोरेट,neither
जैपेनीज,neither
जुझारू,neither
वितरित,nepali-only
यादों,neither
फ्रीक,neither
एमए,neither
पहुँचा।,neither
मंडी,neither
खुलेआम,nepali-only
हॉस्पिटल,neither
अविकल,nepali-only
गोली,nepali-only
बुला,neither
निकाल,neither
अगुवाई,neither
दल,nepali-only
तड़पते,neither
मौके,neither
रोजे,neither
सेकेंड्री,neither
पवित्र,nepali-only
चित्रालय,neither
रामरती,neither
डाउंस,neither
आरपीईटी,neither
बंद,neither
रेटिंग,neither
दोहरा,neither
ज़ोर-शोर,neither
दवाओं,neither
मल,nepali-only
विद्वजन,neither
छिनकर,neither
इंटरेक्ट,neither
आईजक,neither
तूफान,neither
पराजय,nepali-only
बिटिया,neither
जोरी।,nepali-only
सहस्त्रों,neither
पेड,nepali-only
पहनी।,neither
बुरादे,neither
वीजा,neither
पिटवाते,neither
खींचनेवाले,neither
बैलाडिला,neither
सत्येंद्र,neither
अफसरशाही,neither
इज्जतदार,nepali-only
उजाला,neither
कमर,nepali-only
मोहसिन,nepali-only
गुगल,neither
नेक्सस,neither
कॉँपने,neither
कुछेक,neither
किये।,neither
विकास।,nepali-only
फकीरी,neither
रविंद्र,neither
नाकारा,neither
आर्थोपेडिक,neither
जननी,nepali-only
बैकुण्ठ,nepali-only
डीएसपी,nepali-only
तुलना,nepali-only
उत्सुकता,neither
मिलीं।,neither
टंकित,neither
दारू,neither
बंदर,neither
मार्श,neither
बॉस,neither
तीर्थों,neither
खैबर,neither
चाहत,neither
लगे।,neither
बदलना,neither
भिक्षुओं,neither
मराठवाड़ा,neither
पमुख,neither
फेंकते,neither
सीसीटीवी,neither
ग्लैमरस,neither
पतन,nepali-only
बाजार,neither
ज्वाला,nepali-only
पेयजल,neither
मोरल,neither
सोचते,neither
भगाने,neither
टहल,nepali-only
मया,neither
सेठ।,neither
राम-लक्ष्मण,neither
वास्तुविद,nepali-only
छोड़ने,neither
दूंगा।,neither
अतिथि-गृह,neither
गेंद,neither
इन्सां,neither
प्रकाशन।,nepali-only
जिम्मेदारियां,neither
ज़रूरतें,neither
स्वरूप,nepali-only
नहाने,neither
जीत,nepali-only
सिंडिकेट,neither
जीरा,nepali-only
खेला,neither
देबे,neither
वगेरा,neither
अर्थोपार्जन,neither
शवों,neither
रख,neither
रिटर्न,neither
पढने,neither
गढ़,neither
बिल्कुल,neither
अभी,neither
लिमिट,neither
फ़िरदौस,neither
प्रभुता,neither
ध्याते,neither
पुत्त,nepali-only
वाट,neither
श्रृंखला,neither
मापर्फत,neither
कौम,neither
जर,nepali-only
जहान,nepali-only
रूपगढ,neither
उखड़ने,neither
अधलिखे,neither
शाम,neither
सेंधमारी,neither
पंचनामें,neither
जरिये,neither
घरवाली,neither
दर्शक,nepali-only
ब्लू,neither
थेरेपी,neither
मतभेद,nepali-only
पीनी,neither
पैन,neither
अलंकृत,neither
माइंड,neither
छोड़ें,neither
पात्रों,neither
पत्थरों,neither
एफपीओ,neither
पतझर,neither
ईसामसीह,neither
आना-जाना,neither
प्रभार,neither
खत,nepali-only
बग़ैर,neither
बहनो,neither
बरपा,neither
प्रयच्छेत्,neither
सांसें,neither
नजदीकी,neither
जूनूनी,neither
ढूंढ,neither
गुणातीत,nepali-only
सेक्युलरिज्म,neither
चमकते,neither
विराटनगर,nepali-only
लेता।,neither
सटिकतम,neither
जन्मोत्सव,nepali-only
मुस्करहाट,neither
वेटिंग,neither
फटे,neither
आरोप।,nepali-only
सौतेला,neither
लोकसंगीत,neither
सेवाऍं,neither
आपत्तियाँ,neither
घटकर,neither
थानवी,neither
उछलकर,neither
देखिएगा,neither
प्रपंच,neither
हलचल,nepali-only
स्त्रिायों,neither
खाइयों,neither
समझाना,neither
नहीं।,neither
ममी,nepali-only
तस्वीरों,neither
विषाणु,nepali-only
डॉ॰,neither
सभी,neither
सच्चा,nepali-only
बन्दे,neither
चतुर्थ,nepali-only
चूकते,neither
धूम,neither
सिक्के,neither
निस्स्वार्थ,nepali-only
इक,neither
मौहम्मद,neither
वाणी,nepali-only
अलका,nepali-only
लड़कियाँ,neither
मुअन,neither
आरोपित,nepali-only
ठाक,neither
टू,neither
पछेती,neither
निम्मी,neither
फिरें,neither
पाबन्दी,neither
अवसंरचना,neither
हाउस,nepali-only
मिश्रण,nepali-only
अरे,nepali-only
चुहल,neither
बरकत,neither
सब्जी,neither
बोधि,nepali-only
लायर,neither
मॉनीटर,neither
लुटिया,neither
नीतीश,neither
आयोजनों,neither
लिखूंगा,neither
अर्चना,nepali-only
कर्मचारियों,neither
कुठाराघात,neither
रमा,nepali-only
उठना,neither
राजूखेड़ी,neither
बनता,neither
नोटों,neither
संयंत्रों,neither
डरूंगा,neither
गुस्साई,neither
मँडराते,neither
टॉकिज,neither
मलिनों,neither
जलाकर,neither
अक्बर,neither
अवसर,nepali-only
१६३२,numeral/punctuation
कोलेस्ट्रोल,neither
सेक्रेटरी,nepali-only
मत्स्यपालन,nepali-only
चित्रण,nepali-only
सोनू,neither
पृथ्वीराज,nepali-only
पोशक,neither
भ्रमजाल,neither
हुईं।,neither
झुण्ड,nepali-only
भरने,neither
मुस्कान,nepali-only
नियोजित,nepali-only
हमने।,neither
पायल,nepali-only
क़ानून,neither
शरारती,neither
थैली,nepali-only
मंथन,neither
रीझते,neither
मरणोत्तर,neither
नवजात,neither
अछूत,neither
बंकर,neither
मरियल,neither
संगदिल,neither
उन्नीकृष्णन,neither
छपाई,neither
मारीच,neither
अंदर,neither
आएं।,neither
ईजाद,neither
मा-पिता,neither
दूरसंचार,neither
महागुरुत्व,neither
बंबई,neither
सका,neither
तृतीय,nepali-only
७२,numeral/punctuation
लोकसेवकों,neither
दराज,nepali-only
रामलीला,neither
यूरोपीय,neither
जख्मी,neither
उत्तरवैदिक,neither
आ॓फ,neither
हालिकाय,neither
डीएनए,nepali-only
लोकतान्त्रिक,nepali-only
पढ़ो,neither
लड़ें,neither
सामर्थ्यवान,neither
इसीलिए,neither
मुस्लिमों,neither
तेलुगू,neither
प्रोग्रामन,neither
भले-बुरे,neither
भैकंप,neither
संधि,neither
दुकाने,neither
गुनी,neither
आगरा,nepali-only
क्षार,nepali-only
सल्ल,nepali-only
रगड़ना,neither
लूण,neither
गुंडागर्दी,neither
पंक्तियां,neither
नसबंदी,neither
शांतिप्रिय,neither
वैष्णो,neither
ग्लास,nepali-only
जगदीश,nepali-only
अवस्था,nepali-only
घटेगा,neither
मनुहार,neither
बेचारा,neither
ध्वनियों,neither
लाभदायक,neither
राहु,neither
अकसर,neither
अनुमति,nepali-only
किग्रा,neither
कोठारी,neither
गिराने,neither
घृणा,nepali-only
श्रीमान,nepali-only
पाप,nepali-only
बहाना,nepali-only
तलब,nepali-only
देवी,nepali-only
सदैव,nepali-only
नरसंहार,nepali-only
घबराना,neither
शक़,neither
सीखना,neither
युवती,nepali-only
द्रष्टा,nepali-only
सीसा,nepali-only
पत्रो,neither
मुक्तिबोध,neither
पारदर्शी,nepali-only
समकालीन,neither
समर्पण,nepali-only
पहुँचा,neither
सोम,nepali-only
साईकिल,neither
संतति,neither
कामेच्छा,neither
अरूणा,neither
फजीहत,neither
वाक्पटु,nepali-only
ज़ोन,neither
गोवा,neither
प्रश्न,nepali-only
आँसू,neither
राइफल,nepali-only
प्रतिभूतियाँ,neither
सोची-समझी,neither
प्रोसेसर,nepali-only
समझिये,neither
बुध,nepali-only
पालन-पोषण,nepali-only
बेशुमार,neither
संस्थाओं,neither
परिशिष्ट,nepali-only
थाने,neither
राजीति,neither
डीजल,neither
कृत,nepali-only
असोशल,neither
एके,neither
फैट,neither
खोजे,neither
इंस्ट्रूमेंट,neither
मिटता,neither
रसूलजदा,neither
ऑनर्स,neither
पक्ष-विपक्ष,neither
आरोप,nepali-only
सरवर,neither
जायगी।,neither
अहंकार,neither
लिपिक,neither
सोना,neither
एडवेन्चर,neither
हैल्स,neither
ट्रेन,neither
आह्लाद,neither
दिल्ली,nepali-only
सुंदरवन,neither
घटनाओ,neither
तैर,nepali-only
करमी,neither
स्पष्टता,neither
उपन्यासकार,neither
एनडीए,neither
कोसंचित,neither
अपरान्ह,nepali-only
खड़ी,neither
अल-बेरुनी,neither
बीता।,neither
मौसम,nepali-only
कैरेबियाई,neither
क्षीण,nepali-only
पंचाग्नि,neither
हैरतअंगेज,neither
मंत्रालयों,neither
जेब,neither
परवरदिगार,neither
कक्षा-शिशु,neither
सीबीआई।,neither
लक्ष्मीकांत,neither
खाद्य,nepali-only
फतवा,neither
परन्तु,nepali-only
मुक़ाबला,neither
मैटरनिटी,neither
बीतता,neither
बहती,neither
बार-बार,neither
कलाओं,neither
ओबराइन,neither
रुप,nepali-only
धकेलती,neither
डायल,nepali-only
नाइजीरिया,neither
गहराने,neither
बदले,neither
प्रथा,nepali-only
अजीब,neither
गठबंधन,neither
रुमाल,nepali-only
पढ़कर,neither
पायेगा,neither
खेलकर,neither
स्त्रियोचित।,neither
आंध्र,neither
कव्वालियों,neither
उद्याम,neither
चारो,nepali-only
अयोध्या,nepali-only
करुणानिधि,neither
पॉपस्टार,neither
प्राइवेट,neither
जनविरोधी,neither
हरनाइसे,neither
रूपये।,neither
क्यूँ,neither
शंकरदेव,nepali-only
अराजकता,neither
दबंग,neither
शूद्रादि-अतिशूद्र,neither
सुमन,nepali-only
छोटी,nepali-only
उपलक्ष्य,nepali-only
मोलभाव,neither
सीरा,neither
पाऊँ,neither
देन,nepali-only
अप्रचलित,nepali-only
गुत्थी,neither
बहुचर्चित,nepali-only
बादमें,neither
छतों,neither
तीक्ष्ण,nepali-only
संभवत,neither
मांड,neither
मानविकी,neither
अस्सी,neither
सेवानिवृत्त,neither
वॉयस,neither
पात्र,nepali-only
उदासी,nepali-only
शृखला,neither
फ्राँस,neither
हों।,neither
श्रद्धा,nepali-only
गुलेल,neither
सोची,neither
ट्रांजिट,neither
गिरीन्द्र,neither
हानिकारक,neither
घ्वनियां,neither
पैट्रोल,neither
दिखावे,neither
ओशो,nepali-only
बबूला,neither
तत्ववादी,neither
वाणिज्य,nepali-only
टेरो,neither
कंट्रोल,neither
सुन्दर्,neither
करूँगा।,neither
कृपा,nepali-only
तस्दीक,neither
बुलाएं।,neither
आत्मायें,neither
छोटे-से,neither
संख्या,nepali-only
डूबते,neither
खंडेलवाल,neither
व्याप्त,nepali-only
शख्स,neither
कॉमन,neither
गेम्स,neither
समझो,neither
करवाया,neither
तबादला,neither
फायर,nepali-only
नट,nepali-only
नौसेना,neither
बैरल,neither
मेरा,neither
सिपाहियों,neither
चरित्र,nepali-only
देते,neither
तकलीफ,neither
जीने,neither
ऊँ,neither
कार्मिकों,neither
सीतापुर,nepali-only
कमेन्ट।,nepali-only
क्विज,neither
ॾ,neither
छोटे,nepali-only
अंगों,neither
पीएँ।,neither
बढ़त,neither
पेंसठ,neither
चिट्ठियों,neither
मेफेयर,neither
सन्तों,neither
भस्म,nepali-only
अकड,neither
माद्दा,neither
पेंटर,neither
मधु,nepali-only
रिजर्व,neither
कमज़ोरी,neither
सर्विलांस,neither
सम्हालकर,neither
मार,nepali-only
अनजाने,neither
सुविधा,nepali-only
रूपयों,neither
माता,nepali-only
उलझाना,neither
पढ़,neither
अपफसरों,neither
लोकजीवन,neither
निकाला।,nepali-only
स्पष्ट,nepali-only
ज़रूर,neither
भ्रामक,nepali-only
सहायता।,neither
मज़दूर,neither
नकारकर,neither
विभाजन,nepali-only
चिपडे,neither
निरंजन,neither
चूड़ी,neither
विकिपीडिया,neither
बहनों,neither
बताए।,neither
मेरेसेदेस,neither
भौतकशास्त्रियों,neither
मचाते,neither
भेजिए,neither
लङना,neither
छा,neither
गिल्ली-डंडे,neither
तर्कसंगत,neither
गंदगी,neither
राक्षसों,neither
अधीन,nepali-only
उगाएं।,neither
भरे-पुरे,neither
खरमिटाव,neither
द्रव्यमान,neither
व्यवस्थाएं,neither
जौ,neither
मंदा,neither
सोनाक्षी,neither
ट्यूब,neither
त्याग,nepali-only
शुरू।,neither
भूमिसुधार,nepali-only
सास्।,neither
गरीबी,neither
पालन,nepali-only
उपशीर्षक,neither
सुसरालजनों,neither
मानना।,neither
मधुरता,neither
झलकती,neither
यूरिया,neither
रितेश,neither
एबी,neither
भून,neither
थेटे,neither
लेने-देने,neither
टेलीग्राफ,neither
डकैत,nepali-only
युद्धघोष,neither
जठराग्नि,neither
प्रणाम,nepali-only
लीं,neither
कैफ़े,neither
बुद्धिमत्ता,neither
वस्तुएं,neither
पर।,neither
छोटेपुर,neither
आरही,neither
सोखे,neither
एड,neither
जाने-माने,neither
नहाये-धोये,neither
लाऊडस्पीकरों,neither
क्षणभंगुर,neither
ज्योति,nepali-only
खुशियां,neither
शिखा,nepali-only
सोच-विचार,nepali-only
पड़ेंगे।,neither
अमिया,neither
डुबा,neither
चाल,nepali-only
निगल,neither
उजड़,neither
जुटाती,neither
मेरठ,neither
फ़ूल,neither
स्तरों,neither
नेता।,nepali-only
संतों,neither
सब,nepali-only
मालिक,nepali-only
तिरशूल,neither
बीचिज,neither
बिखेरती,neither
डिलीवर,neither
प्रतिनिधि,nepali-only
सिखाने,neither
ग्रसित,nepali-only
ओपोजिट,neither
पूर्णतया,neither
आयी।,neither
स्थापनाओं,neither
भूपलम,neither
समानता,neither
ऊँचा,neither
लैब,neither
सांडर्स,neither
विकलांग,neither
जांच-परिणाम,neither
२-३,numeral/punctuation
चुकंदर,neither
शंका,nepali-only
खर्च,nepali-only
पैगम्बर,neither
संवैधानिक,nepali-only
अंग्रेज़ो,neither
बैंकों,neither
मिश्रा,neither
पंचायतराज,neither
दिग्दर्शन,neither
शोरूम,neither
गृहिणियाँ,neither
सुपारी,nepali-only
चटर्जी,neither
घोसले,neither
अश्लीलता,neither
दबी,neither
सर्वोच्चतम,neither
डूबे,neither
टाइट,neither
अनुसूचियों,neither
कीमतें,neither
लेकिर,neither
आक्रोश,nepali-only
आकी,neither
कान्हां,neither
शोक,nepali-only
लड़्का,neither
दर्जे,neither
भयानक,nepali-only
दोषी,nepali-only
कृपालु,nepali-only
धागा।,neither
विलीन,nepali-only
पूर्व,nepali-only
मिलाकर,neither
सेफ्टी,nepali-only
बड़ा,neither
डाक्यूमेंट,neither
यक़ीनन,neither
वाग्भट,neither
राख,neither
होन्नावर,neither
ख़ारिज,neither
अन,neither
निजि,neither
पठार,nepali-only
घड़ी,neither
असहयोग,nepali-only
बहत,neither
पे,neither
अकेलेपन,neither
पहाड़ियो,neither
पत्रकारी,neither
बेड,neither
धारक,nepali-only
जयपुर,neither
सिंगर,neither
लम्बी,neither
तवील,neither
फूलमती,neither
करा,neither
बगीचों,neither
ॠषि,neither
कुल्हाड़ी,neither
आय-व्यय,neither
जिसमें,neither
आदतन,neither
डेस्क,nepali-only
दिक्भ्रमित,neither
रनों,neither
स्नान,nepali-only
गेह,neither
खिलते,neither
मुलजिम,neither
मधेपुरा,neither
अहलूवालिया,neither
कथानक,neither
सूचना,nepali-only
गोया,neither
मैराथन,neither
शेखचिल्ली,neither
देखते-देखते,neither
१९,numeral/punctuation
किसे,neither
झाड़,neither
एकत्रित,nepali-only
खोलें।,neither
चित्रगुप्त,neither
आँखों,neither
कटि,neither
आहाता,neither
दिखाकर,neither
हुस्नी,neither
प्रतीक,nepali-only
शख़सीयत,neither
केप्स्यूल,neither
लादा,neither
सुनवाती,neither
खोलती,neither
घुमक्कड़,neither
उतरती,neither
चमड़े,neither
जगमोहन,neither
नीतिज्ञों,neither
तपिश,neither
रिक्शेवालों,neither
अल्पसंख्यक,neither
भयंकर,neither
संसाधन,nepali-only
निर्विघ्न,nepali-only
धन्यवाद।,nepali-only
तरीका,neither
आएगा,neither
मुड़,neither
जोकर,nepali-only
अलाव,neither
स्टॉर,neither
विस्फोटकों,neither
माहिर,nepali-only
रंगकर,neither
सम्भवत,neither
दीवारें,neither
ग्रीष्मकालीन,neither
डिस्ट्रिक्ट,neither
आदमी,nepali-only
संवेदनशीलता,neither
मीठी,neither
मोदीजी,neither
कौनौ,neither
